Presente,Amar,Comer,,Perfeito,Amar,Comer
Eu,amo,como,,Eu,amei,comi
Tu,amas,comes,,Tu,amaste,comeste
Ela/ele,ama,come,,Ela/ele,amou,comeu
Nós,amamos,comemos,,Nós,amámos,comemos
Elas/eles,amam,comem,,Elas/eles,amaram,comeram
,,,,,,
Presente,Partir,Vir,,Perfeito,Partir,Vir
Eu,parto,venho,,Eu,parti,vim
Tu,partes,vens,,Tu,partiste,vieste
Ela/ele,parte,vem,,Ela/ele,partiu,veio
Nós,partimos,vimos,,Nós,partimos,viemos
Elas/eles,partem,vêm,,Elas/eles,partiram,vieram
,,,,,,
Imperfeito,Amar,Comer,,Futuro,Amar,Comer
Eu,amava,comia,,Eu,amarei,comerei
Tu,amavas,comias,,Tu,amarás,comerás
Ela/ele,amava,comia,,Ela/ele,amará,comerá
Nós,amávamos,comíamos,,Nós,amaremos,comeremos
Elas/eles,amavam,comiam,,Elas/eles,amarão,comerão
,,,,,,
Imperfeito,Partir,Vir,,Futuro,Partir,Vir
Eu,partia,vinha,,Eu,partirei,virei
Tu,partias,vinhas,,Tu,partirás,virás
Ela/ele,partia,vinha,,Ela/ele,partirá,virá
Nós,partíamos,vínhamos,,Nós,partiremos,viremos
Elas/eles,partiam,vinham,,Elas/eles,partirão,virão
,,,,,,
Mais-que-perf.,Amar,Comer,,Imperativo,Amar,Comer
Eu,amara,comera,,Tu (+),ama,come
Tu,amaras,comeras,,Tu (-),ames,comas
Ela/ele,amara,comera,,Você,ame,coma
Nós,amáramos,comêramos,,Nós,amemos,comamos
Elas/eles,amaram,comeram,,Vocês,amem,comam
,,,,,,
Mais-que-perf.,Partir,Vir,,Imperativo,Partir,Vir
Eu,partira,viera,,Tu (+),parte,vem
Tu,partiras,vieras,,Tu (-),partas,venhas
Ela/ele,partira,viera,,Você,parta,venha
Nós,partíramos,viéramos,,Nós,partamos,venhamos
Elas/eles,partiram,vieram,,Vocês,partam,venham
,,,,,,
,,,,,,
Conj. presente,Amar,Comer,,Conj. imperf.,Amar,Comer
Eu,ame,coma,,Eu,amasse,comesse
Tu,ames,comas,,Tu,amasses,comesses
Ela/ele,ame,coma,,Ela/ele,amasse,comesse
Nós,amemos,comamos,,Nós,amássemos,comêssemos
Elas/eles,amem,comam,,Elas/eles,amassem,comessem
,,,,,,
Conj. presente,Partir,Vir,,Conj. imperf.,Partir,Vir
Eu,parta,venha,,Eu,partisse,viesse
Tu,partas,venhas,,Tu,partisses,viesses
Ela/ele,parta,venha,,Ela/ele,partisse,viesse
Nós,partamos,venhamos,,Nós,partíssemos,viéssemos
Elas/eles,partam,venham,,Elas/eles,partissem,viessem
,,,,,,
Conj. futuro,Amar,Comer,,Infinit. pessoal,Amar,Comer
Eu,amar,comer,,Eu,amar,comer
Tu,amares,comeres,,Tu,amares,comeres
Ela/ele,amar,comer,,Ela/ele,amar,comer
Nós,amarmos,comermos,,Nós,amarmos,comermos
Elas/eles,amarem,comerem,,Elas/eles,amarem,comerem
,,,,,,
Conj. futuro,Partir,Vir,,Infinit. pessoal,Partir,Vir
Eu,partir,vier,,Eu,partir,vir
Tu,partires,vieres,,Tu,partires,vires
Ela/ele,partir,vier,,Ela/ele,partir,vir
Nós,partirmos,viermos,,Nós,partirmos,virmos
Elas/eles,partirem,vierem,,Elas/eles,partirem,virem
,,,,,,
Condicional,Amar,Comer,,Infinitivo,amar,comer
Eu,amaria,comeria,,Part. passado,amado,comido
Tu,amarias,comerias,,Gerúndio,amando,comendo
Ela/ele,amaria,comeria,,,,
Nós,amaríamos,comeríamos,,Infinitivo,partir,vir
Elas/eles,amariam,comeriam,,Part. passado,partido,vindo
,,,,Gerúndio,partindo,vindo
Conditional,Partir,Vir,,,,
Eu,partiria,viria,,Perfeito composto,,tenho amado
Tu,partirias,virias,,Mais-que-perfeito composto,,tinha amado
Ela/ele,partiria,viria,,Mais-que-perfeito anterior,,tivera amado
Nós,partiríamos,viríamos,,Futuro composto,,terei amado
Elas/eles,partiriam,viriam,,Conjuntivo perfeito,,tenha amado
,,,,Conj. mais-que-perf. composto,,tivesse amado
,,,,Conjuntico futuro composto,,tiver amado
,,,,Condicional composto,,teria amado
,,,,Infinitivo pessoal perfeito,,ter amado
,,,,Infinitivo perfeito,,ter amado
,,,,,,
,,,,,,
,Ser,Ir,,,Dar,Ter
Presente (eu),sou,vou,,Presente (eu),dou,tenho
Tu,és,vais,,Tu,dás,tens
Ela/ele,é,vai,,Ela/ele,dá,tem
Nós,somos,vamos,,Nós,damos,temos
Elas/eles,são,vão,,Elas/eles,dão,têm
Perfeito (eu),fui,fui,,Perfeito (eu),dei,tive
Tu,foste,foste,,Tu,deste,
Ela/ele,foi,foi,,Ela/ele,deu,teve
Nós,fomos,fomos,,Nós,demos,
Elas/eles,foram,foram,,Elas/eles,deram,
